timestamp,volume,backend,pass,nq,k,nprobe,threads,elapsed_s,qps,majflt,majflt_per_q,read_bytes,notes
1783959870,ondisk_nb10M,iowarp,cold,500,10,64,8,34.3062,14.6,18,0.036,327680,
1783959905,ondisk_nb10M,iowarp,warm0,500,10,64,8,34.5503,14.5,0,0.000,0,
1783959936,ondisk_nb10M,iowarp,warm1,500,10,64,8,30.6963,16.3,0,0.000,0,
1783978238,ondisk_nb10M,iowarp,cold,500,10,64,8,33.4138,15.0,22,0.044,327680,
1783978273,ondisk_nb10M,iowarp,warm0,500,10,64,8,34.3971,14.5,0,0.000,0,
1783978306,ondisk_nb10M,iowarp,warm1,500,10,64,8,33.1885,15.1,0,0.000,0,
1783978347,ondisk_nb10M,chimod,cold,500,10,64,8,8.1114,61.6,0,0.000,0,mode=1;inflight=1
1783978355,ondisk_nb10M,chimod,warm0,500,10,64,8,7.5331,66.4,0,0.000,0,mode=1;inflight=1
1783978362,ondisk_nb10M,chimod,warm1,500,10,64,8,7.6741,65.2,0,0.000,0,mode=1;inflight=1
1783978373,ondisk_nb10M,chimod,cold,500,10,64,8,9.4839,52.7,0,0.000,0,mode=1;inflight=2
1783978382,ondisk_nb10M,chimod,warm0,500,10,64,8,9.6368,51.9,0,0.000,0,mode=1;inflight=2
1783978391,ondisk_nb10M,chimod,warm1,500,10,64,8,9.1528,54.6,0,0.000,0,mode=1;inflight=2
1783978404,ondisk_nb10M,chimod,cold,500,10,64,8,12.1502,41.2,0,0.000,0,mode=1;inflight=4
1783978416,ondisk_nb10M,chimod,warm0,500,10,64,8,12.0446,41.5,0,0.000,0,mode=1;inflight=4
1783978428,ondisk_nb10M,chimod,warm1,500,10,64,8,11.7026,42.7,0,0.000,0,mode=1;inflight=4
1783978444,ondisk_nb10M,chimod,cold,500,10,64,8,14.6112,34.2,0,0.000,0,mode=1;inflight=8
1783978459,ondisk_nb10M,chimod,warm0,500,10,64,8,14.6571,34.1,0,0.000,0,mode=1;inflight=8
1783978473,ondisk_nb10M,chimod,warm1,500,10,64,8,14.3551,34.8,0,0.000,0,mode=1;inflight=8
1783979466,ondisk_nb10M,chimod,cold,500,10,64,8,3.3780,148.0,0,0.000,0,mode=1;inflight=1
1783979469,ondisk_nb10M,chimod,warm0,500,10,64,8,3.4324,145.7,0,0.000,0,mode=1;inflight=1
1783979472,ondisk_nb10M,chimod,warm1,500,10,64,8,3.2816,152.4,0,0.000,0,mode=1;inflight=1
1784043785,ondisk_nb10M,chimod,cold,500,10,64,8,3.8464,130.0,0,0.000,0,mode=1;inflight=1
1784043789,ondisk_nb10M,chimod,warm0,500,10,64,8,4.0111,124.7,0,0.000,0,mode=1;inflight=1
1784043793,ondisk_nb10M,chimod,warm1,500,10,64,8,3.7077,134.9,0,0.000,0,mode=1;inflight=1
